date,workout,notes
2026-06-01,8 × 100m tempo,First day!
2026-06-02,"Running:
Wickets x 6, 4 × 20m starts, 4 × 30m starts, 3 × 60m

Lifting:
Power Clean: 4 × 3 @ 75%, Back Squat: 4 × 5 @ 75%, RDL: 3 × 5 @ 75%, Pull-Ups: 3 × 8 Long-Lever, 2 × 25 sec, Heel-Dig 2 × 20sec, core",Only did lifting
2026-06-03,8 × 100m tempo,sore calves
2026-06-04,"Running:
8 × 100m tempo

Lifting:
Bulgarian Split Squat: 3 × 6 each leg, Bench Press: 3 × 5 @ 75–80%, Chin-Ups: 3 × 8, Nordic Hamstrings: tantrums 3x20s, Core",Switched todays and saturdays workout
2026-06-05,8 × 100m tempo,none
2026-06-06,"Running:
Wickets × 4, 4 × Fly 30m, 2 × Fly 40m, 1 × 150m 

Lifting:
Power Clean: 3 × 2 @ 75%, Back Squat: 3 × 3 @ 75%, Box Jumps: 3 × 3, Bench Press: 3 × 5 @ 75%,Long-Lever, 2 × 25 sec Heel-Dig 2 × 20sec",Switched todays workout with thursdays workout
2026-06-08,8 × 100m tempo,none
2026-06-09,"Running:
Wickets x 6, 4 × 20m starts, 4 × 30m starts, 3 × 60m

Lifting:
Power Clean: 4 × 3 @ 75%, Back Squat: 4 × 5 @ 75%, RDL: 3 × 5 @ 75%, Pull-Ups: 3 × 8 Long-Lever, 2 × 25 sec, Heel-Dig 2 × 20sec, core",none
2026-06-10,8 × 100m tempo,none
2026-06-11,"Running:
350 15min, 150 

Lifting:
Bulgarian Split Squat: 3 × 6 each leg, Bench Press: 3 × 5 @ 75–80%, Chin-Ups: 3 × 8, Nordic Hamstrings: tantrums 3x20s, Core",none
2026-06-12,8 × 100m tempo,none
2026-06-15,8 × 100m tempo,none
2026-06-16,"Running:
Wickets x 6, 4 × 20m starts, 4 × 30m starts, 3 × 60m

Lifting:
Power Clean: 4 × 3 @ 75%, Back Squat: 4 × 5 @ 75%, RDL: 3 × 5 @ 75%, Pull-Ups: 3 × 8 Long-Lever, 2 × 25 sec, Heel-Dig 2 × 20sec, core",Quad annoyance
2026-06-17,"6xwalk,skip,jogs",quad still annoyed
2026-06-18,rest day,due to quad
2026-06-19,rest,quad
2026-06-20,"core, calves",quad
2026-06-21,rest,quad
2026-06-22,w=none,wisdom teeth
2026-06-23,none,wisdom teeth
2026-06-24,none,wisdom teeth
